Txn Id;Local timestamp;Type;Result;Product;Serial Number;Device Id;Device Commission Code;Business Id;Business Name;Business Commission Code;Amount;EAN;Retailer Margin Rate;Retailer Margin (Inc. Tax);Supplier Margin Rate;Supplier Margin (Inc. Tax);Transaction Margin Flat Fee;Channel Margin Rate;Channel Margin (Inc. Tax);Flixbus Service Fee;Retailer Margin manual calculation;Supplier Margin manual calculation;Channel Margin manual calculation
TTTA20774776231;2024-08-01T08:59:50.153;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3182868480;121843;bdm2569202;109464;Friedenthal;25692;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20774785000;2024-08-01T09:22:30.739;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3182872406;100241;top1529802;92668;Götzl;15298;15.99;2338828000001;5.000%;0.800;7.000%;1.119;0.020;0.500%;0.080;0.99;0.800;1.119;0.080
TTTA20774844393;2024-08-01T11:32:16.188;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3182904579;122009;top1644703;92570;Lesjak;16447;38.48;2338828000001;5.000%;1.924;7.000%;2.694;0.020;0.500%;0.192;0.99;1.924;2.694;0.192
TTTA20774950281;2024-08-01T16:03:11.281;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3182980868;98825;cwl1619001;91128;Gonzi;16190;41.99;2338828000001;5.000%;2.100;7.000%;2.939;0.020;0.500%;0.210;0.99;2.100;2.939;0.210
TTTA20775103179;2024-08-02T07:59:44.914;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183145493;100019;top1394401;91365;Just-Scheiber;13944;20.49;2338828000001;5.000%;1.025;7.000%;1.434;0.020;0.500%;0.102;0.99;1.025;1.434;0.102
TTTA20775202740;2024-08-02T11:26:05.589;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183187055;100955;top2212803;91670;Wagner;22128;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20775250145;2024-08-02T12:58:21.796;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183211349;100847;top2154301;91120;Prem-Pillichshammer;21543;81.98;2338828000001;5.000%;4.099;7.000%;5.739;0.020;0.500%;0.410;0.99;4.099;5.739;0.410
TTTA20775376338;2024-08-02T16:52:20.070;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183298094;99179;cwl2241801;92774;Gergess;22418;40.99;2338828000001;5.000%;2.050;7.000%;2.869;0.020;0.500%;0.205;0.99;2.050;2.869;0.205
TTTA20775541295;2024-08-03T08:47:55.767;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183448361;99895;top1197203;90034;Huberts;11972;34.00;2338828000001;5.000%;1.700;7.000%;2.380;0.020;0.500%;0.170;0.99;1.700;2.380;0.170
TTTA20775559198;2024-08-03T09:34:29.356;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3183455533;99262;cwl2313801;90975;Priesch;23138;27.00;2338828000001;5.000%;1.350;7.000%;1.890;0.020;0.500%;0.135;0.99;1.350;1.890;0.135
